city,state
Bakultala,Andaman & Nicobar Islands
Bambooflat,Andaman & Nicobar Islands
Car nicobar,Andaman & Nicobar Islands
Garacharma,Andaman & Nicobar Islands
Hut bay,Andaman & Nicobar Islands
Kamorta,Andaman & Nicobar Islands
Malacca,Andaman & Nicobar Islands
Mayabunder,Andaman & Nicobar Islands
Port blair,Andaman & Nicobar Islands
Prothrapur,Andaman & Nicobar Islands
Rangat,Andaman & Nicobar Islands
Tarasa island,Andaman & Nicobar Islands
Banumukkala,Andhra Pradesh
Elurubudawada,Andhra Pradesh
Mandapeta,Andhra Pradesh
Nellore,Andhra Pradesh
Punganur,Andhra Pradesh
Tadepalle,Andhra Pradesh
Bapatla,Andhra Pradesh
Gajapathinagaram,Andhra Pradesh
Kadapa,Andhra Pradesh
Mangalagiri,Andhra Pradesh
Nidadavole,Andhra Pradesh
Puttaparthi,Andhra Pradesh
Tadepalligudem,Andhra Pradesh
Bestawaripeta,Andhra Pradesh
Gajulamandhyam,Andhra Pradesh
Kadiri,Andhra Pradesh
Mangampeta,Andhra Pradesh
Ntpc simhadri,Andhra Pradesh
Puttur,Andhra Pradesh
Tadpatri,Andhra Pradesh
Kaikaram,Andhra Pradesh
Mangasamudram,Andhra Pradesh
Nuzvid,Andhra Pradesh
Rajahmundry,Andhra Pradesh
Tangellamudi,Andhra Pradesh
Bethamcherla,Andhra Pradesh
Industrial area,Andhra Pradesh
Bheemunipatnam,Andhra Pradesh
Gajularega,Andhra Pradesh
Bhimadole,Andhra Pradesh
Ganapavaram,Andhra Pradesh
Bhimavaram,Andhra Pradesh
Gangapatnam,Andhra Pradesh
Bobbili,Andhra Pradesh
Gavaravaram,Andhra Pradesh
Bowluvada,Andhra Pradesh
Giddaluru,Andhra Pradesh
Bugganipalle,Andhra Pradesh
Golugonda,Andhra Pradesh
Chagallu,Andhra Pradesh
Gooty,Andhra Pradesh
Chebrole khandrika,Andhra Pradesh
Gopalapuram,Andhra Pradesh
Chebrolu,Andhra Pradesh
Gopavaram,Andhra Pradesh
Chennamukkapalle,Andhra Pradesh
Gudilova,Andhra Pradesh
Chennur,Andhra Pradesh
Gudivada,Andhra Pradesh
Chilakaluripet,Andhra Pradesh
Gudur,Andhra Pradesh
