Person;Affiliation;PrimaryKey
editor; Amar Bharati;1
Editor; The Patriots of India;2
Shri Siddharth Shankar Sharma; Civil Judge & Judicial Magistrate Collectorate;3
Editor; Dainik Jagran;4
Shri Rajeev Ranjan Dwivedi; Public Relation Officer Bihar School Examination Board;5
Shri Peeluram Sahu; Reporter Dainik Bhaskar;6
Shri Anand Maurya; Mid- Day Meal;7
Quality Monitor; Mid- Day Meal;7
Editor;of Jabalpur Express;7
Shri Pradeep Singh; Municipal Council;8
Chief Municipal officer; Municipal Council;8
Editor; Dainik Raj Express Bhopal;9
Editor; Peptech Times;10
editor; Rahat Times;12
editor; Awami Salar;13
editor; Kanwhiz Times;14
Editor; Fortnightly Arsikere;15
Arasi Varthe; Fortnightly Arsikere;15
Editor; Suvarna Times of Karnataka;16
editor; Rashtriya Sahara;17
Editor;of Dainik Bhaskar;18
Editor;of Rajasthan Patrika;19
Editor; Dainik Bhaskar;20
Shri Siddharth K.J.; Campaign;25
Shri Siddharth K.J.; Campaign;26
Shri Amarnath Chakravarty; Secretary of Sandesh;27
Editor;of Hindustan;27
Editor; Dainik Bhaskar;28
Under Secretary;to Govt. of India;29
Shri Amar Zaidi; Journalist PTI;29
Editor;of Saanjhveer Times;30
Shri Rajeev Ranjan Mishra; District Basic Education Officer;33
Editors;of Hindustan and Amar Ujala;33
Editors;of Hindustan;34
Editor;of Aaj ka Anand;36
Editor;of Aaj ka Anand;37
Dainik Aaj; Censure;38
editor;of Dainik Rajyonnati;39
Shri Rajendra Singh; Commissioner CGST;40
Ms. Rekha Singh; Advocate;43
Editor;of Dainik Bhaskar;43
Editor;of Dainik Jagran;44
Dr D.C. Prajapati; Vice President Media Cell;46
Editor;of Times of India;46
Editor;of (i) Prajanad;47
Editor;of Dainik Bhaskar;49
Editor;of Jagbani;50
Editor;of Anuchar;51
Shri R.K Soni; Joint Director Local Fund Audit;52
Shri J.N. Nayak; Chairman Sudarshan CHS Ltd.;56
Editor;of Dombivli Varta;56
editor;of Rajasthan Patrika;61
editor;of Rajasthan Khoj Khabar;63
editor;of Pratahkaal;64
Editor;of Dainik Navjyoti;65
Editor;of Rashtradoot;66
Editor;of Khabron Ki Duniya;69
Editor; Evening Post;70
editor;of Times of India;71
editor;of Hamara Samachar;73
Editor; Morning News;74
editor;of Dainik Navyatna;75
Editor;of Samachar Jagat;76
editor;of Kanthal Ki Awaz;78
Editor;of Jai Kanthal;79
editor;of Rashtra Ka Vachan;80
Editor; Jannayak;81
editor;of Punjab Kesari;82
editor;of Dainik Bhaskar;83
Editor;of Pratidhwani;87
Shri Brijender Sharan Srivastava Gandhi; Chairman People Action Justice for All Foundation;91
Shri Ashish Awasthi; Bureau Chief Dainik Hindustan;91
Shri Vijay Goel; Minister of State Statistic and Programme Implementation;92
Editor; Times of India;92
Editor; The Sunday Guardian;93
Shri K. Ravikumar; Founder Secretary Aikya Kerala;95
Editors;of Malayala Manorama;95
Shri Kamal Nath; President MPCC;96
Editor; Indian Express;96
Shri Kamal Nath; President MPCC;97
Editor; Rajasthan Patrika;97
Shri Kamal Nath; President MPCC;98
Editor; Bhaskar;98
Shri Kamal Nath; President MPCC;99
Editor; Times of India;99
Shri Kamal Nath; President MPCC;100
Editor; Jagran;100
Shri Kamal Nath; President MPCC;101
Editor; Nai Duniya;101
Shri Kamal Nath; President MPCC;102
