Unnamed: 0;Complainant;Against;Date;Decision;ComplaintType;ReportName;Locations;PrimaryKey;Complaint
6;Shri Anand Maurya;Editor;28.02.2023;Disposed of with direction;Principles and Publication;AnnualReport2023;Jabalpur, Madhya Pradesh;7;Complaint of Shri Anand Maurya, Quality Monitor, Mid- Day Meal, Zila Panchayat Dindori, Madhya Pradesh against the Editor of Jabalpur Express, Jabalpur, Madhya Pradesh.
8;Shri Pradeep Singh;Dainik Bhaskar;15.11.2022;Settled and closed for non pursuance;Press and Defamation;AnnualReport2023;Bhopal, M.P;8;Complaint of Shri Pradeep Singh, Chief Municipal officer, Municipal Council, Begumganj, Raisen (M.P.) against the editor, Dainik Bhaskar, Bhopal (M.P.). 
11;Dainik Divya Gosh;Editor;15.11.2022;Disposed of with observation;Press and Defamation;AnnualReport2023;M.P;9;Complaint of Shri Harish Mishra, Editor, Dainik Divya Gosh, Raisen (M.P.) against the Editor, Dainik Raj Express Bhopal (M.P.). 
10;Shri Harish Mishra;Editor;15.11.2022;Disposed of with observation;Press and Defamation;AnnualReport2023;M.P;9;Complaint of Shri Harish Mishra, Editor, Dainik Divya Gosh, Raisen (M.P.) against the Editor, Dainik Raj Express Bhopal (M.P.). 
21;Shri A. Shivraj;Editor;15.11.2022;Disposed of being sub-judice;Press and Defamation;AnnualReport2023;Karnataka;15;Complaint of Shri S. Vijay Kumar, Shri B.S. Prasanna Kumar, Shri A. Shivraj, Shri Mohan Kumar, Hasan District, Karnataka against the Editor, Arasi Varthe, Fortnightly Arsikere, Hasan District, Karnataka. 
19;Shri B.S. Prasanna Kumar;Editor;15.11.2022;Disposed of being sub-judice;Press and Defamation;AnnualReport2023;Karnataka;15;Complaint of Shri S. Vijay Kumar, Shri B.S. Prasanna Kumar, Shri A. Shivraj, Shri Mohan Kumar, Hasan District, Karnataka against the Editor, Arasi Varthe, Fortnightly Arsikere, Hasan District, Karnataka. 
23;Shri Mohan Kumar;Editor;15.11.2022;Disposed of being sub-judice;Press and Defamation;AnnualReport2023;Karnataka;15;Complaint of Shri S. Vijay Kumar, Shri B.S. Prasanna Kumar, Shri A. Shivraj, Shri Mohan Kumar, Hasan District, Karnataka against the Editor, Arasi Varthe, Fortnightly Arsikere, Hasan District, Karnataka. 
17;Shri S. Vijay Kumar;Editor;15.11.2022;Disposed of being sub-judice;Press and Defamation;AnnualReport2023;Karnataka;15;Complaint of Shri S. Vijay Kumar, Shri B.S. Prasanna Kumar, Shri A. Shivraj, Shri Mohan Kumar, Hasan District, Karnataka against the Editor, Arasi Varthe, Fortnightly Arsikere, Hasan District, Karnataka. 
27;Shri A. Shivraj;Editor;15.11.2022;Disposed of being sub-judice;Press and Defamation;AnnualReport2023;Karnataka;16;Complaint of Shri S. Vijay Kumar, Shri B.S. Prasanna Kumar, Shri A. Shivraj, Shri Mohan Kumar, Hasan District, Karnataka against the Editor, Suvarna Times of Karnataka, Bengaluru, Karnataka. 
26;Shri B.S. Prasanna Kumar;Editor;15.11.2022;Disposed of being sub-judice;Press and Defamation;AnnualReport2023;Karnataka;16;Complaint of Shri S. Vijay Kumar, Shri B.S. Prasanna Kumar, Shri A. Shivraj, Shri Mohan Kumar, Hasan District, Karnataka against the Editor, Suvarna Times of Karnataka, Bengaluru, Karnataka. 
28;Shri Mohan Kumar;Editor;15.11.2022;Disposed of being sub-judice;Press and Defamation;AnnualReport2023;Karnataka;16;Complaint of Shri S. Vijay Kumar, Shri B.S. Prasanna Kumar, Shri A. Shivraj, Shri Mohan Kumar, Hasan District, Karnataka against the Editor, Suvarna Times of Karnataka, Bengaluru, Karnataka. 
25;Shri S. Vijay Kumar;Editor;15.11.2022;Disposed of being sub-judice;Press and Defamation;AnnualReport2023;Karnataka;16;Complaint of Shri S. Vijay Kumar, Shri B.S. Prasanna Kumar, Shri A. Shivraj, Shri Mohan Kumar, Hasan District, Karnataka against the Editor, Suvarna Times of Karnataka, Bengaluru, Karnataka. 
30;Shri Chaturbhuj Sharma;editor;15.11.2022;Disposed of being sub-judice;Press and Defamation;AnnualReport2023;Bihar;17;Complaint of Shri Rakesh Ranjan, S/o Shri Chaturbhuj Sharma, Aurangabad (Bihar) against the editor, Rashtriya Sahara, Patna (Bihar). 
29;Shri Rakesh Ranjan;editor;15.11.2022;Disposed of being sub-judice;Press and Defamation;AnnualReport2023;Bihar;17;Complaint of Shri Rakesh Ranjan, S/o Shri Chaturbhuj Sharma, Aurangabad (Bihar) against the editor, Rashtriya Sahara, Patna (Bihar). 
37;Dr. Pramod Malviya;Editor;;Dismissed;Principles and Publication;AnnualReport2022;M.P;30;Complaint of Dr. Pramod Malviya, M.P. against the Editor of Saanjhveer Times, Baitul. 
