;ComplaintType;Complaint;Date;Decision;Report_name;PrimaryKey
5;Principles and Publication;Complaint against Shri Rajeev Ranjan Dwivedi, Public Relation Officer, Bihar School Examination Board, Patna (Bihar) against the Hindustan, Patna Budha Marg, Patna (Bihar). ;15.11.2022;Disposed of with observation;AnnualReport2023;5
21;Suo-Motu (Against the Press);Suo-motu cognizance with regard to publication of telefriendship advertisements by Dainik Bhaskar. ;28.02.2023;Disposed of with undertakings filed by respondent;AnnualReport2023;21
22;Suo-Motu (Against the Press);Suo-motu cognizance with regard to publication of misleading and vulgar advertisements by Rashtriya Sahara, New Delhi. ;28.02.2023;Disposed of with observation;AnnualReport2023;22
23;Suo-Motu (Against the Press);Suo-motu cognizance with regard to publication of misleading advertisements by Rashtriya Sahara, New Delhi. ;28.02.2023;Disposed of with observation;AnnualReport2023;23
24;Suo-Motu (Against the Press);Suo-motu cognizance taken by the Council against “Vishvawani” Kannada newspaper for publishing derogatory language against the Hon’ble President, India ;28.02.2023;Severely Censured;AnnualReport2023;24
25;Communal, Casteist, Anti-National and Anti-Religious Writings;Complaint of Shri Siddharth K.J., Campaign against Hate Speech, Bengaluru (Karnataka) against Shri M. Govinde Gowda, Editor, Star of Mysore, Mysuru, Shri K.B. Ganapathy, Editor-in-Chief, Star of Mysore, Mysuru. ;15.11.2022;Censured;AnnualReport2023;25
26;Communal, Casteist, Anti-National and Anti-Religious Writings;Complaint of Shri Siddharth K.J., Campaign against Hate Speech, Bengaluru against the Editor, Vijay Karnataka, Bengaluru, Karnataka. ;28.02.2023;Censured;AnnualReport2023;26
32;Principles and Publication;Complaint of Dr Devjeet Datta, Satna against People Observer, Satna, Madhya Pradesh. ;;Disposed of;AnnualReport2022;32
41;Press and Defamation;Complaint of Smt. Vimla Sharma, District Gwalior, M.P against Chambal Chetna. ;;Closure;AnnualReport2022;41
42;Press and Defamation;Complaint of Smt. Mukta Pathak against Dabang Duniya, Bhopal. ;;Closure;AnnualReport2022;42
54;Press and Defamation;Complaint of Shri Mustafa Mandal, Indore against the Crime Darpan, Indore, Madhya Pradesh. ;;Disposed of;AnnualReport2022;54
57;Press and Morality;Complaint of Shri Haji Abrar Hussain, Agra against Agra Bharat. ;;Dismissed;AnnualReport2022;57
