Complainant;Affiliation;PrimaryKey
Shri Anand Maurya;Quality Monitor;7
Shri Pradeep Singh;Chief Municipal officer;8
Sh. K.B. Sinha;Under Secretary;186
Shri Anand Dev Singh;Deputy Director;231
Shri Anand Dev Singh;Deputy Director;232
Shri Anand Dev Singh;Deputy Director;233
Ms. Preeti Shah;Chief General Manager-CERC;328
Mohd. Nasir Kamal;Hony. Convenor;550
Shri Ravi Shankar;Executive Magistrate;594
Shri Neeraj Saxena;Advocate;608
Shri Rajeev Kaushik;Chief Manager;667
Shri Rahul Sharma;Under Secretary;840
Shri Rahul Sharma;Under Secretary;841
Shri Rahul Sharma;Under Secretary;842
Shri Rahul Sharma;Under Secretary;843
Shri Rahul Sharma;Under Secretary;844
Shri Rahul Sharma;Under Secretary;845
Shri Rahul Sharma;Under Secretary;846
Shri Rahul Sharma;Under Secretary;847
Shri Rahul Sharma;Under Secretary;848
Shri Rahul Sharma;Under Secretary;849
Shri Rahul Sharma;Under Secretary;850
Shri Rahul Sharma;Under Secretary;851
Shri Rahul Sharma;Under Secretary;852
Shri Rahul Sharma;Under Secretary;853
Shri Rahul Sharma;Under Secretary;854
Shri Rahul Sharma;Under Secretary;855
Shri A. Devaneyan;Registrar;880
Shri A. Devaneyan;Registrar;881
Shri A. Devaneyan;Registrar;882
Shri A. Devaneyan;Registrar;883
Shri Pankaj Kumar Pandey;Chief Electoral Officer;905
Shri Pankaj Kumar Pandey;Chief Electoral Officer;906
Shri Pankaj Kumar Pandey;Chief Electoral Officer;909
Shri Pankaj Kumar Pandey;Chief Electoral Officer;910
Shri Pankaj Kumar Pandey;Chief Electoral Officer;979
Shri Pankaj Kumar Pandey;Chief Electoral Officer;980
Shri Pankaj Kumar Pandey;Chief Electoral Officer;986
Shri Pankaj Kumar Pandey;Chief Electoral Officer;990
Shri Pankaj Kumar Pandey;Chief Electoral Officer;992
Shri Pankaj Kumar Pandey;Chief Electoral Officer;994
Shri Pankaj Kumar Pandey;Chief Electoral Officer;996
Shri Pankaj Kumar Pandey;Chief Electoral Officer;999
Shri Pankaj Kumar Pandey;Chief Electoral Officer;1000
Shri Pankaj Kumar Pandey;Chief Electoral Officer;1002
Shri Pankaj Kumar Pandey;Chief Electoral Officer;1004
Shri Pankaj Kumar Pandey;Chief Electoral Officer;1005
Shri Pankaj Kumar Pandey;Chief Electoral Officer;1006
Shri Pankaj Kumar Pandey;Chief Electoral Officer;1008
Kumudam;Publisher;1547
Dr. K. S. Singh;Director General;1777
Shri V. V. Vyawhare;General Secretary;1790
Dr. J.S. Mathur;Princi-pal;1822
Deputy Commandant Y.S. Dalal;Public Relations Officer;1855
Shri M.J. Pandey;General Secretary;1876
Shri M.J. Pandey;General Secretary;1878
Shri M.J. Pandey;General Secretary;1880
Shri V.K. Goyal;G.M.;1938
Shri Ashutosh Pandey;Secretary;2151
Shri G.N.K. Tomar;Chief General Director;2164
Shri G.N.K. Tomar;Chief General Director;2165
Shri Prafulla Mahanta;Kumar Ex-Chief Minister;2392
Sister Shalini;H.C.;2503
Sister Shalini;H.C.;2504
Shri Meghraj Jain Hajarimal;President;2634
Shri M.A. Basith;I.G;2684
Shri Abdul Rahim Quraishi;Assistant General Secretary;2768
Mrs. E Gomathi;Lec-turer;2872
Sh.Nihal Chand Jain;Photographer;3014
Supreme Vishwa Ghatnakram;Publisher;3019
Sh. Hardev Singh;Chief Municipal Officer;3068
Sh. R.S. Arora;Hon. General Secretary;3127
Shri P.K. Chatterji;Div. Railway Manager;3201
Shri Jyotidev Goswami;Chief Public Relations Officer;3207
Smt. Tanvir Fatma;Chief Medical Superintendent;3458
Shri Ram Chander Choudhary;Director General;3522
Shri R.D. Arya;Deputy Regional Director;3556
Shri R.D. Arya;Deputy Regional Director;3557
Shri R.D. Arya;Deputy Regional Director;3558
Shri R.D. Arya;Deputy Regional Director;3559
Sh. H. M. Veerabhadraswamy;Joint Registrar;3716
Shri G. R. Rohil;Tahsildar;3737
Shri G. R. Rohil;Tahsildar;3738
Shri Roop Narayan Prasad;Joint Director;3774
Smt. Ratna Botham;Health Inspector;3778
Shri V. K. Jain;Senior Superintendent;3780
Sh. Kanwal Singh Sandhu;Deputy Registrar;3878
Shri Nirbiit;Sub Inspector;4012
Shri Sebastian Joseph;Chief Reporter;4115
Sh. Subhash Sharma;Chief Secretary;4355
Shri K.N.K. Karthiayani;Chief Post Master General;4439
Shri Aniruddha Nayak;General Secretary;4656
Shri Sanjiv Bureau Nayan;Chief;4754
Shri Godaram;Sarpanch;4791
Dr. Dropti Jatariya;Chief Medical Superintendent;4817
Shri Ravindra Kumar Singh;Assistant Teacher;4830
Rajendra Ramnath;Proprietor;4910
Shri Ashok Verma;Chief Editor;5119
Shri Ashok Verma;Chief Editor;5120
Dr. Vindhyeshwari Pandey;Chief Adviser;5140
Mr. Mohd. Muneer;Secretary;5156
Bhagat Singh;President;5205
Shri Ravi Nair;Executive Director;5219
