Person;Affiliation;PrimaryKey
editor; Amar Bharati;1
Editor; The Patriots of India;2
Shri Siddharth Shankar Sharma; Civil Judge & Judicial Magistrate Collectorate;3
Editor; Dainik Jagran;4
Shri Rajeev Ranjan Dwivedi; Public Relation Officer Bihar School Examination Board;5
Shri Peeluram Sahu; Reporter Dainik Bhaskar;6
Shri Anand Maurya; Mid- Day Meal;7
Quality Monitor; Mid- Day Meal;7
Editor;of Jabalpur Express;7
Shri Pradeep Singh; Municipal Council;8
Chief Municipal officer; Municipal Council;8
Editor; Dainik Raj Express Bhopal;9
Editor; Peptech Times;10
editor; Rahat Times;12
editor; Awami Salar;13
editor; Kanwhiz Times;14
Editor; Fortnightly Arsikere;15
Arasi Varthe; Fortnightly Arsikere;15
Editor; Suvarna Times of Karnataka;16
editor; Rashtriya Sahara;17
Editor;of Dainik Bhaskar;18
Editor;of Rajasthan Patrika;19
Editor; Dainik Bhaskar;20
Shri Siddharth K.J.; Campaign;22
Shri Siddharth K.J.; Campaign;23
Shri Amarnath Chakravarty; Secretary of Sandesh;24
Editor;of Hindustan;24
Editor; Dainik Bhaskar;25
Under Secretary;to Govt. of India;26
Shri Amar Zaidi; Journalist PTI;26
Editor;of Saanjhveer Times;27
Shri Rajeev Ranjan Mishra; District Basic Education Officer;30
Editors;of Hindustan and Amar Ujala;30
Editors;of Hindustan;31
Editor;of Aaj ka Anand;33
Editor;of Aaj ka Anand;34
Dainik Aaj; Censure;35
editor;of Dainik Rajyonnati;36
Shri Rajendra Singh; Commissioner CGST;37
Ms. Rekha Singh; Advocate;40
Editor;of Dainik Bhaskar;40
Editor;of Dainik Jagran;41
Dr D.C. Prajapati; Vice President Media Cell;43
Editor;of Times of India;43
Editor;of (i) Prajanad;44
Editor;of Dainik Bhaskar;46
Editor;of Jagbani;47
Editor;of Anuchar;48
Shri R.K Soni; Joint Director Local Fund Audit;49
Shri J.N. Nayak; Chairman Sudarshan CHS Ltd.;53
Editor;of Dombivli Varta;53
editor;of Rajasthan Patrika;57
editor;of Rajasthan Khoj Khabar;59
editor;of Pratahkaal;60
Editor;of Dainik Navjyoti;61
Editor;of Rashtradoot;62
Editor;of Khabron Ki Duniya;65
Editor; Evening Post;66
editor;of Times of India;67
editor;of Hamara Samachar;69
Editor; Morning News;70
editor;of Dainik Navyatna;71
Editor;of Samachar Jagat;72
editor;of Kanthal Ki Awaz;74
Editor;of Jai Kanthal;75
editor;of Rashtra Ka Vachan;76
Editor; Jannayak;77
editor;of Punjab Kesari;78
editor;of Dainik Bhaskar;79
Editor;of Pratidhwani;83
Shri Brijender Sharan Srivastava Gandhi; Chairman People Action Justice for All Foundation;87
Shri Ashish Awasthi; Bureau Chief Dainik Hindustan;87
Shri Vijay Goel; Minister of State Statistic and Programme Implementation;88
Editor; Times of India;88
Editor; The Sunday Guardian;89
Shri K. Ravikumar; Founder Secretary Aikya Kerala;91
Editors;of Malayala Manorama;91
Shri Kamal Nath; President MPCC;92
Editor; Indian Express;92
Shri Kamal Nath; President MPCC;93
Editor; Rajasthan Patrika;93
Shri Kamal Nath; President MPCC;94
Editor; Bhaskar;94
Shri Kamal Nath; President MPCC;95
Editor; Times of India;95
Shri Kamal Nath; President MPCC;96
Editor; Jagran;96
Shri Kamal Nath; President MPCC;97
Editor; Nai Duniya;97
Shri Kamal Nath; President MPCC;98
