;Person;Affiliation;PrimaryKey
0;Shri Anand Maurya;Quality Monitor,  Mid- Day Meal;7
1;Shri Pradeep Singh;Chief Municipal officer,  Municipal Council;8
2;Sh. K.B. Sinha;Under Secretary;186
3;Shri Anand Dev Singh;Deputy Director;231
4;Shri Anand Dev Singh;Deputy Director;232
5;Shri Anand Dev Singh;Deputy Director;233
6;Ms. Preeti Shah;Chief General Manager-CERC;328
7;Mohd. Nasir Kamal;Hony. Convenor;550
8;Shri Ravi Shankar;Executive Magistrate;594
9;Shri Neeraj Saxena;Advocate;608
10;Shri Rajeev Kaushik;Chief Manager;667
11;Shri Rahul Sharma;Under Secretary,  Election Commission of India;840
12;Shri Rahul Sharma;Under Secretary;841
13;Shri Rahul Sharma;Under Secretary;842
14;Shri Rahul Sharma;Under Secretary;843
15;Shri Rahul Sharma;Under Secretary;844
16;Shri Rahul Sharma;Under Secretary;845
17;Shri Rahul Sharma;Under Secretary;846
18;Shri Rahul Sharma;Under Secretary;847
19;Shri Rahul Sharma;Under Secretary;848
20;Shri Rahul Sharma;Under Secretary;849
21;Shri Rahul Sharma;Under Secretary;850
22;Shri Rahul Sharma;Under Secretary;851
23;Shri Rahul Sharma;Under Secretary;852
24;Shri Rahul Sharma;Under Secretary;853
25;Shri Rahul Sharma;Under Secretary;854
26;Shri Rahul Sharma;Under Secretary;855
27;Shri A. Devaneyan;Registrar;880
28;Shri A. Devaneyan;Registrar;881
29;Shri A. Devaneyan;Registrar;882
30;Shri A. Devaneyan;Registrar;883
31;Shri Pankaj Kumar Pandey;Chief Electoral Officer;905
32;Shri Pankaj Kumar Pandey;Chief Electoral Officer;906
33;Shri Pankaj Kumar Pandey;Chief Electoral Officer;909
34;Shri Pankaj Kumar Pandey;Chief Electoral Officer;910
35;Shri Pankaj Kumar Pandey;Chief Electoral Officer,  IAs;979
36;Shri Pankaj Kumar Pandey;Chief Electoral Officer;980
37;Shri Pankaj Kumar Pandey;Chief Electoral Officer,  IAS;986
38;Shri Pankaj Kumar Pandey;Chief Electoral Officer,  IAS;990
39;Shri Pankaj Kumar Pandey;Chief Electoral Officer;992
40;Shri Pankaj Kumar Pandey;Chief Electoral Officer;994
41;Shri Pankaj Kumar Pandey;Chief Electoral Officer;996
42;Shri Pankaj Kumar Pandey;Chief Electoral Officer;999
43;Shri Pankaj Kumar Pandey;Chief Electoral Officer;1000
44;Shri Pankaj Kumar Pandey;Chief Electoral Officer;1002
45;Shri Pankaj Kumar Pandey;Chief Electoral Officer;1004
46;Shri Pankaj Kumar Pandey;Chief Electoral Officer;1005
47;Shri Pankaj Kumar Pandey;Chief Electoral Officer;1006
48;Shri Pankaj Kumar Pandey;Chief Electoral Officer;1008
49;Kumudam;Publisher;1547
50;Dr. K. S. Singh;Director General;1777
51;Shri V. V. Vyawhare;General Secretary;1790
52;Dr. J.S. Mathur;Princi-pal;1822
53;Deputy Commandant Y.S. Dalal;Public Relations Officer;1855
54;Shri M.J. Pandey;General Secretary;1876
55;Shri M.J. Pandey;General Secretary;1878
56;Shri M.J. Pandey;General Secretary;1880
57;Shri V.K. Goyal;G.M.;1938
58;Shri Ashutosh Pandey;Secretary;2151
59;Shri G.N.K. Tomar;Chief General Director;2164
60;Shri G.N.K. Tomar;Chief General Director;2165
61;Shri Prafulla Mahanta;Kumar Ex-Chief Minister;2392
62;Sister Shalini;H.C.;2503
63;Sister Shalini;H.C.;2504
64;Shri Meghraj Jain Hajarimal;President;2634
65;Shri M.A. Basith;I.G;2684
66;Shri Abdul Rahim Quraishi;Assistant General Secretary;2768
67;Mrs. E Gomathi;Lec-turer;2872
68;Sh.Nihal Chand Jain;Photographer;3014
69;Supreme Vishwa Ghatnakram;Publisher;3019
70;Sh. Hardev Singh;Chief Municipal Officer;3068
71;Sh. R.S. Arora;Hon. General Secretary;3127
72;Shri P.K. Chatterji;Div. Railway Manager;3201
73;Shri Jyotidev Goswami;Chief Public Relations Officer;3207
74;Smt. Tanvir Fatma;Chief Medical Superintendent;3458
75;Shri Ram Chander Choudhary;Director General;3522
76;Shri R.D. Arya;Deputy Regional Director;3556
77;Shri R.D. Arya;Deputy Regional Director;3557
78;Shri R.D. Arya;Deputy Regional Director;3558
79;Shri R.D. Arya;Deputy Regional Director;3559
80;Sh. H. M. Veerabhadraswamy;Joint Registrar;3716
81;Shri G. R. Rohil;Tahsildar;3737
82;Shri G. R. Rohil;Tahsildar;3738
83;Shri Roop Narayan Prasad;Joint Director;3774
84;Smt. Ratna Botham;Health Inspector;3778
85;Shri V. K. Jain;Senior Superintendent;3780
86;Sh. Kanwal Singh Sandhu;Deputy Registrar;3878
87;Shri Nirbiit;Sub Inspector;4012
88;Shri Sebastian Joseph;Chief Reporter;4115
89;Sh. Subhash Sharma;Chief Secretary;4355
90;Shri K.N.K. Karthiayani;Chief Post Master General;4439
91;Shri Aniruddha Nayak;General Secretary;4656
92;Shri Sanjiv Bureau Nayan;Chief;4754
93;Shri Godaram;Sarpanch;4791
94;Dr. Dropti Jatariya;Chief Medical Superintendent;4817
95;Shri Ravindra Kumar Singh;Assistant Teacher;4830
96;Rajendra Ramnath;Proprietor;4910
97;Shri Ashok Verma;Chief Editor;5119
98;Shri Ashok Verma;Chief Editor;5120
99;Dr. Vindhyeshwari Pandey;Chief Adviser;5140
100;Mr. Mohd. Muneer;Secretary;5156
101;Bhagat Singh;President;5205
102;Shri Ravi Nair;Executive Director;5219
103;Editor; Arasi Varthe; np.int64(15)
104;Editor; Seema Sandesh; np.int64(72)
105;Editor; Dainik Amber; np.int64(88)
106;Editor; Amar Ujala; np.int64(125)
107;Editor; Lakshaydhari; np.int64(129)
108;Editor; Aaj ka Sanvidhan; np.int64(137)
109;Editor; Amar Ujala; np.int64(143)
110;Editor; Ajit; np.int64(146)
111;Editor; Prabhat Khabar; np.int64(182)
112;Editor; Awami Salar; np.int64(201)
113;Editor; Hari Bhoomi; np.int64(213)
114;Editor; Dabang Dunia; np.int64(217)
115;Editor; Khandva; np.int64(218)
116;Editor; D Pulkit; np.int64(219)
117;Editor; Siwani; np.int64(222)
118;Editor; Hari Bhoomi; np.int64(227)
119;Editor; Amar Ujjala; np.int64(231)
120;Editor; Amar Ujala; np.int64(238)
121;Editor; Amar Ujala; np.int64(262)
122;Editor; Amar Ujala; np.int64(265)
123;Editor; Mid-Day; np.int64(268)
124;Editor; Dainik Nai Duniya; np.int64(283)
125;Editor; District Magistrate; np.int64(299)
126;Editor; Shri. Vijay Trimbak Gokhale; np.int64(317)
127;Editor; Sakshi; np.int64(327)
128;Editor; Prajasakthi; np.int64(338)
129;Editor; Yuvakraanth-kaarigal Asthra; np.int64(343)
130;Editor; Parivarik Dastak; np.int64(369)
131;Editor; Dainik Jagarn; np.int64(388)
132;Editor; Pariwarik Dastak; np.int64(397)
133;Editor; Hari Bhumi; np.int64(398)
134;Editor; Dainik Jaltedeep; np.int64(412)
135;Editor; Indraprastha News Reporter; np.int64(415)
136;Editor; Mid-Day; np.int64(416)
137;Editor; lucknow; np.int64(437)
138;Editor; Mid Day; np.int64(493)
139;Editor; Hum Paanch; np.int64(504)
140;Editor; DainikBhaskar; np.int64(519)
141;Editor; DainikBhaskar; np.int64(521)
142;Editor; M.P.; np.int64(522)
143;Editor; DabangKhabrein; np.int64(545)
144;Editor; Him Himwanti; np.int64(547)
145;Editor; M.P.; np.int64(567)
146;Editor; Railwarta; np.int64(588)
147;Editor; Amar Ujala; np.int64(598)
148;Editor; Deshabhimani; np.int64(620)
149;Editor; Parivartanka Daur; np.int64(651)
150;Editor; Haribhumi; np.int64(658)
