Complaint;Date;Status;ComplaintType;Report_name
﻿1. Complaint of Shri P.K. Chatterji, Div. Railway Manager, Eastern Railway, Asansol, against The Tele-graph, Calcutta.;June 23, 1997;Upheld (Censured);Principles and Publication;AnnualReport1998
2. Complaint of Shri M. Chandran, Gangtok against Sikkim Observer, Gangtok.;June 23, 1997;Upheld;Principles and Publication;AnnualReport1998
3. Complaint of Shri Sudhir Ranjan Majumdar, M.P. (Rajya Sabha) against Dainik, Desher Katha, Agartala (Tripura).;June 23, 1997;Dropped -- complaint not actionable;Principles and Publication;AnnualReport1998
4. Complaint of Secretary, State Elec-tion Commission, Assam against Asomiya Pratidin, Assamese daily.;June 23, 1997;Upheld;Principles and Publication;AnnualReport1998
5. Complaint of Assam State Co-operative Agriculture & Rural Development Bank Ltd. against Asomiya Pratidin.;June 23, 1997;Dismissed on merits;Principles and Publication;AnnualReport1998
6. Complaint of the Managing Editor, The North-East Times, Guwahati against Sentinel, Guwahati.;June 23, 1997;Upheld;Principles and Publication;AnnualReport1998
7. Complaint of Shri Jyotidev Goswami, Chief Public Relations Officer, North-East Frontier Railway against Dainik Asom.;June 23, 1997;Upheld;Principles and Publication;AnnualReport1998
8. Complaint of Shri Atul C. Marak, Hon'ble GAD Minister, Govt. of Meghalaya against the Meghalaya Guardian, Shillong.;June 23, 1997;Upheld;Principles and Publication;AnnualReport1998
9. Complaint of Shri Umesh Chandra Saxena, Gandhidham against Sandesh, Rajkot.;June 23, 1997;Dismissed on merits;Principles and Publication;AnnualReport1998
10. Complaint of Dr. V.R. Gudka, President, Nadiad Medical Associ-ation through Dr. K.D. Jeswani, M.P. (Lok Sabha) against 'Daily Sandesh', Ahmedabad.;June 23, 1997;Upheld;Principles and Publication;AnnualReport1998
11. Complaint of Managing Director, Kadamba Transport Corporation Ltd., Panaji against Daily Pudhari, a Marathi daily.;June 23, 1997;Settled;Principles and Publication;AnnualReport1998
12. Complaint of Shri M.K. Jos, Mem-ber & Spokesman, All Goa Citizens Committee for Social Justice & Action, Panjim, Goa against Navhind Times.;June 23, 1997;Settled;Principles and Publication;AnnualReport1998
13. Complaint of Shri C.L. Banthia, Company Secretary, Eureka Forbes Ltd. against Dainik Aaj, Kanpur.;June 23, 1997;Upheld;Principles and Publication;AnnualReport1998
14. Complaint of Shri C.K. Raolji, MLA, Former State Minister of Transport, Gujarat (through advocate) against Gujarat Mitra, Surat.;June 23, 1997;Sub-judice;Principles and Publication;AnnualReport1998
15. Complaint of the Chief Public Relations and Publicity officer LIC of India, Bombay against Sunday Mail, Bombay.;June 23, 1997;Upheld;Principles and Publication;AnnualReport1998
16. Complaint of Shri P. Khanna, Director, National Environmental Engineering Research Institute, Nagpur against Down to Earth, New Delhi.;June 23, 1997;Upheld -disapproved with directions;Principles and Publication;AnnualReport1998
17. Complaint of Shri Chainsukh Sancheti, MLA, Maharashtra against Daily Deshonnati, Buldhana.;June 23, 1997;Dismissed on merits;Principles and Publication;AnnualReport1998
18. Complaint of Shri Shivaji Hanmant Sugare of Solapur against Shri M.D. Shaikh, Editor, Bandhuprem, Solapur.;June 23, 1997;Dismissed on merits;Principles and Publication;AnnualReport1998
19. Complaint of Shri N.B. Deshpande, Nagpur against Tarun Bharat, Nagpur.;June 23, 1997;Upheld;Principles and Publication;AnnualReport1998
20. Complaint of Shri Gulamus Saklain, Proprietor, Taj Opticals, Bhandara against Bhandara Hit Pradesh Weekly, Bhandara.;June 23, 1997;Dismissed.;Principles and Publication;AnnualReport1998
21. Complaint of Dr. K.N. Pandey, Works Manager (Admn.), Ordnance Factory, Bhandara against Lokmat Samachar, Nagpur.;June 23, 1997;Dismissed for non-prosecution;Principles and Publication;AnnualReport1998
22. Complaint of the Addl. General Manager PER, Ordnance Factory, Bhandara (Maharashtra) against Lokmat Times, Nagpur.;June 23, 1997;Settled;Principles and Publication;AnnualReport1998
23. Complaint of Dr. K.N. Pandey, Works Manager/Admn. Ordnance Factory Bhandara against Bhandara Hit Pradesh, Marathi Weekly, Bhandara.;June 23, 1997;Upheld;Principles and Publication;AnnualReport1998
24. Complaint of Dr. K.N. Pandey, Works Manager (Admn.), Govt. of India, Ministry of Defence, Ordnance Factory, Bhandara, Jawaharnagar (via Nagpur), Maharashtra against Lokmat, Marathi Daily.;June 23, 1997;Settled;Principles and Publication;AnnualReport1998
25. Complaint of Shri B.G. Shirke of Pune against The Daily, Mumbai.;June 23, 1997;Upheld;Principles and Publication;AnnualReport1998
