Complaint;Date;Status;ComplaintType;Report_name
Complaint of Ms. Suchita Kumbhar, General  Secretary, Network by People Living with HIV  & AIDS, Mumbai against the Editor, Mid Day,  Mumbai;December 21, 2012;Dismissed;Principles and Publication;AnnualReport2013
Complaint of Shri Narayan S. Navti, Joint Chief  Electoral Officer, Panaji, Goa against the Editor,  Navprabha, Panaji, Goa;back;Dismissed;Principles and Publication;AnnualReport2013
Complaint of Shri Abu Asim Azmi, (Ex-M.P.)  and then MLA, Maharashtra, Mumbai against  the Editor, The Urdu Times, Mumbai;December 21, 2012;Dismissed;Principles and Publication;AnnualReport2013
Complaint of Shri Shamsher Singh, State  General Secretay, Indian Justice Party,  Ambala, Haryana against the Editor, Punjab  Kesari, Ambala Cantt., Haryana;December 21, 2012;Dismissed;Principles and Publication;AnnualReport2013
Complaint of Shri Lokesh Kumar Malik,  Advocate, Sonepat, Haryana against the  Editor, Dainik Bhaskar, Panipat, Haryana;December 21, 2012;Closed;Principles and Publication;AnnualReport2013
Complaint of Shri N. Konda Reddy, Indian  National Congress Worker, Kadapa District,  A.P. against  the Editor, Sakshi Daily,  Hyderabad, A.P.;December 21, 2012;Dismissed;Principles and Publication;AnnualReport2013
Complaint of Prof. M.K. Vasantha, Chairman,  Akashdeep  Enclave  Residence  Welfare  Society (AERWS), Roorkee, Uttar Pradesh  against the Editor, Dainik Jagran, Haridwar;back;Dismissed Adjudications Merged;Principles and Publication;AnnualReport2013
Suo-motu action on reference from Election  Commission of India against Dainik Hindustan  for publication of allegedly ‘Paid News’ during  election in the grab of news;December 21, 2012;Censured;Principles and Publication;AnnualReport2013
Suo-motu action on reference from Election  Commission of India against Dainik Jagran,  for publication of allegedly ‘Paid News’ during  election in the grab of news;December 21, 2012;Censured;Principles and Publication;AnnualReport2013
Suo-motu action on reference from Election Commission of India against Prabhat Khabar for publication of allegedly ‘Paid News’ during  election in the grab of news;December 21, 2012;Cautioned;Principles and Publication;AnnualReport2013
Suo-motu action on reference from Election Commission of India against Aaj, for  publication of allegedly ‘Paid News’ during  election in the grab of news;December 21, 2012;Censured;Principles and Publication;AnnualReport2013
Suo-motu action on reference from Election  Commission of India against Rashtriya Sahara  for publication of allegedly ‘Paid News’ during  election in the grab of news;December 21, 2012;Censured;Principles and Publication;AnnualReport2013
Suo-motu action on reference from Election Commission of India against The Hindustan Times for publication of allegedly ‘Paid News’  during election in the grab of news;December 21, 2012;Censured;Principles and Publication;AnnualReport2013
