Complaint,Date,Status,ComplaintType,Report_name
"1. Complaint of Shaikh Nisarahmad Shermohammed, Maharashtra against Daily Aple Maharashtra. ","July 12, 2006 ",Withdrawn,Principles and Publications,AnnualReport2007
"2. Complaint of Shri Deepak Chabria, Chairman, Employment Promotion Council of Indian Personnel, Mumbai against Mid Day and Times of India. ","July 12, 2006 ",Advise,Principles and Publications,AnnualReport2007
"3. Complaint of Shri Deepak Chabria, Chairman, Employment Promotion Council of Indian Personnel, Mumbai against Mid Day and Times of India. ","July 12, 2006 ",Advise,Principles and Publications,AnnualReport2007
"4. Complaint of Ms. K.R. Moghe, Stree Mukti Andolan Sampark Samiti, Pune against Times of India (Pune Times) Pune. ","July 12, 2006 ",Censured,Principles and Publications,AnnualReport2007
"5. Complaint ofShri Sanjay Bhusreddy, IAS, Special Secretary, Housing, Government of U.P., Lucknow Hindustan, against Lucknow. ","Advise6. Complaintof ShriRavi Kumar, Calcutta Chairman, Motor Sports Club, Kolkata againstAutocar India, Mumbai. ",Directions ,Principles and Publications,AnnualReport2007
"7. Complaint of Dr. O.P. Agnihotri, Managing Joint Director, U.P. Bhoomi Nigam, Lucknow Sudhar against Rozgar the Editor, Sangrah, Agra."," October 16, 2006",Warned,Principles and Publications,AnnualReport2007
"8. Complaint of Shri T.T. Adhikari, New Delhi against The Hindustan Times, New Delhi. ","October 16, 2007",Disposed of with advise,Principles and Publications,AnnualReport2007
"9. Complaints of Shri C. Satish, Hyderabad against The Hindu, Hyderabad. ","October 16, 2007",Closed with observations,Principles and Publications,AnnualReport2007
"10. Complaints of Shri C. Satish, Hyderabad against The Hindu, Hyderabad. ","October 16, 2007",Closed with observations,Principles and Publications,AnnualReport2007
"11. Complaint of Shri Kulamarva Balakrishna Padubidru, Karnataka against Prajavani, Kannada daily, Mangalore, Karnataka. ","October 16, 2007",Withdrawn,Principles and Publications,AnnualReport2007
"12. Complaint of Shri Baldev Singh, Punjab against the Editor, The Tribune, Chandigarh.","March 30, 2007",Closed,Principles and Publications,AnnualReport2007
"13. Complaint of Shri Ramesh Lalwani, Delhi against the Editor, Times of India and Economic Times, New Delhi. ","March 30, 2007",Withdrawn,Principles and Publications,AnnualReport2007
"14. Complaint of Shri Hiranmay Karlekar, New Delhi against Editor, Economic & Political Weekly, Mumbai. ","March 30, 2007",Withdrawn,Principles and Publications,AnnualReport2007
"15. Complaint of Shri Sate Singh Rana, Member, BJP, Dehradun, Uttrakhand against Maidani Awaz, Dehradun, Uttrakhand. ","March 30, 2007",Proceedings dropped ,Principles and Publications,AnnualReport2007
"16. Complaint of Shri Sandeep Jena, Editor, Delta Square against the Samaj, Oriya daily, Cuttack, Orissa.","March 30, 2007",Dismissed,Principles and Publications,AnnualReport2007
"17. Complaint of Shri Rajendra Kumar Jain, Bureau Chief, Rozgar Evam Parinam, Sarguja, Chhattisgarh against the editor, Employment News, New Delhi. ","March 30, 2007", Disposed of,Principles and Publications,AnnualReport2007
"18. Complaint of Pt. S.L. Vyas, Pt. S.L. Vyas Sansthan, Phalodi, Rajasthan against the editors, Rajasthan Patrika, Jaipur, Dainik Navjyoti, Ajmer and Dainik Bhaskar, Jodhpur.","March 30, 2007 ",Dismissed for Lack of substance,Principles and Publications,AnnualReport2007
"19. Complaint of Shri M.M. Mittal, Mumbai against Nav Bharat, Mumbai. ","July 12, 2006 ",Censured, Press and Defamation ,AnnualReport2007
"20. Complaint of Hon. Secretary, Sahyagiri Co-operative Housing Society, Mumbai against Confidence, Bi-Monthly, Mumbai. ","July 12, 2006 ",Directions, Press and Defamation ,AnnualReport2007
"21. Complaint of Smt. Deenaben Dhandhukiya, Proprietor, Sai Pooja Enterprise, Gujarat against Junagarh Samachar, Junagarh, Gujarat. ","July 12, 2006 ",Directions, Press and Defamation ,AnnualReport2007
"22. Complaint of Shri Dilip Kumar Ramlal Shah, Ahmedabad against Khadayata Jyoti. ","July 12, 2006 ",Directions , Press and Defamation ,AnnualReport2007
"23. Complaint of Shri Pradyumna Sahastabhojanee, Architect-Urban Designer, Nagpur against The Hitavada, Nagpur. Admonished ","July 12, 2006 ",Directions , Press and Defamation ,AnnualReport2007
"24. Complaint of Shri Meghraj Hajarimal Jain, President, Rashtriya Bahu Samaj Sewa Udeshiya Sanstha against Bhaskar, Dainik Nagpur. ","July 12, 2006 ",Withdrawn , Press and Defamation ,AnnualReport2007
"25. Complaint of Shri Meghraj Jain, Hajarimal President, Rashtriya Samaj Bahu Udeshiya Sewa Sanstha against Deshonnati, Daily Nagpur.","July 12, 2006 ", Dismissed with observations , Press and Defamation ,AnnualReport2007
"26. Complaint of Shri Bharat Mumbai B. Jain, against Mid Day, Gujarati Daily, Mumbai. ","July 12, 2006 ",Censured, Press and Defamation ,AnnualReport2007
"27. Complaint of Shri Ravinder Diwedi, Bhrastachar Nirmulan Samiti, Thane, Maharashtra against Loksatta, Mumbai. ","July 12, 2006 ",Closed , Press and Defamation ,AnnualReport2007
"28. Complaint of Dr. Ram Lakhan Singh, Principal Chief Conservetor of Forest, Lucknow, U.P. against Hindustan, Lucknow. ","July 12, 2006 ",Reprimanded, Press and Defamation ,AnnualReport2007
"29. Complaint of Shri Shailander Yadav ""Lalai"", Minister of State, Social Welfare, Government of Uttar Pradesh against Dainik Hindustan, Varanasi. ","July 12, 2006 ",Dismissed being devoid of merit, Press and Defamation ,AnnualReport2007
"30. Complaint of Shri Shailander Yadav ""Lalai"", Minister of State, Social Welfare, Government of Uttar Pradesh against Amar Ujala, Varanasi. ","July 12, 2006 ", Dismissed being devoid of merit, Press and Defamation ,AnnualReport2007
"31. Complaint of Shri Ashok Kumar Tomar, Principal, Rashtriya Inter College, Shahpur, U.P. against Amar Ujala, Meerut. ","July 12, 2006 ",Reprimanded , Press and Defamation ,AnnualReport2007
"32. Complaint of Shri B.B.Jindal, Lucknow against Swatantra Bharat, Lucknow. Reprimanded ","July 12, 2006 ",Reprimanded , Press and Defamation ,AnnualReport2007
"33. Complaint of Shri Murari Lal Goyal, Kanpur Dehat against Swatantra Bharat, Lucknow. ","July 12, 2006 ",Reprimanded , Press and Defamation ,AnnualReport2007
"34. Complaint of Shri Shatrughan Singh Chauhan, Journalist and former General Secretary, Samajwadi Party, U.P. against Aaj, Kanpur. ","July 12, 2006 ",Dismissed , Press and Defamation ,AnnualReport2007
"35. Complaint of Shri Surender Sharma, Bijnor against Dainik Shah Times, Muzaffarnagar. ","July 12, 2006 ",Withdrawn, Press and Defamation ,AnnualReport2007
"36. Complaint of Dr. S.R.Niranjan, Managing Director, Sun India Pharmacy Pvt. Ltd., Orai, U.P. against Dainik Bundelkhand Kranti, Orai, U.P. ","July 12, 2006 ",Dismissed, Press and Defamation ,AnnualReport2007
"37. Complaint of Regional Manager, (PR & Publicity) LIC of India, Kanpur, U.P. against Saral Sahara, Unnao, U.Р. "," July 12, 2007",Warned, Press and Defamation ,AnnualReport2007
"38. Complaint of Shri Kishore Virwani, M/s Laxmi Water Industries, Indore, M.P. against Jan Inqulab, Indore, M.Р. "," July 12, 2007",Reprimanded , Press and Defamation ,AnnualReport2007
"39. Complaint of Shri T. Pitchandi, IAS, Secretary to the Government of Tamil Nadu, Chennai against Dinakaran, Chennai. "," July 12, 2007",Dismissed., Press and Defamation ,AnnualReport2007
"40. Complaint of Ms. R. Chandra, VicePresident, All India Democratic WomenAssociation against Dinamalar, Tiruchirapalli."," July 12, 2007", Disposed of with directions, Press and Defamation ,AnnualReport2007
"41. Complaint of Dr. M.L. Khanna, General Secretary, DAV College Trust and Management Society, New Delhi against Punjab Kesari, New Delhi. "," July 12, 2007",Censured , Press and Defamation ,AnnualReport2007
"42. Complaint of Chief Administrative Officer, Indian Veterinary Research Institute, Izzatnagar, Bareilly, U.P. againstAmar Ujala, Bareilly, U.P. "," July 12, 2007",Disposed of with directions , Press and Defamation ,AnnualReport2007
"43. Complaint of Shri Manibhushan Tiwari, Inspector, Food and Supply, Yamuna Vihar, New Delhi against Nazar-Ki-Nazar, Delhi. "," July 12, 2007",Sub-judice, Press and Defamation ,AnnualReport2007
"44. Complaint of Shri Jagdish Deol, General Secretary, DAV College Managing Committee Employee, New Delhi against Punjab Kesari, New Delhi. "," July 12, 2007",Censured, Press and Defamation ,AnnualReport2007
"45. Complaint of Shri Y.Anil Kumar, IPS, Deputy Inspector General (Administration) of Police, Thiruvananthapurm against Janamabhoomi, Malayalam Daily. "," July 12, 2007",Reprimanded, Press and Defamation ,AnnualReport2007
"46.Complaint of Shri S.S. Sharma against Dainik Pudhari, Mumbai."," July 12, 2007 ",Closed , Press and Defamation ,AnnualReport2007
"47. Complaint of Shri Murlidhar Melwani, Ulhasnagar, Maharashtra against the Editor, Ulhas Champion, Ulhasnagar, Maharashtra. ","October 16, 2006 ",Dismissed-not pursued , Press and Defamation ,AnnualReport2007
"48. Complaint of Shri Nanikram Sidhwani, Ulhasnagar, Maharashtra against the Editor, Ulhas Champion, Ulhasnagar, Maharashtra. ","October 16, 2006 ",Dismissed-not pursued , Press and Defamation ,AnnualReport2007
"49. Complaint of Vivekanand Education Society, Mumbai against the Editor, The Times of India, Mumbai. ","October 16, 2006 ",Closed , Press and Defamation ,AnnualReport2007
